                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                 1.1993,                0.78171,                 1.5732,                0.85877,                0.65455,                0.67606,                0.29703,                 2.2434,                 1.2319,                 3.0465,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.1485,                0.75628,                 1.5126,                0.91463,                0.71818,                0.75976,                0.34672,                 2.1002,                 1.1145,                  2.876,               0.000416,               0.000416,               0.000416
                     83,                 1.1543,                0.74882,                 1.4907,                 0.7875,                0.68182,                 0.6876,                 0.3298,                 2.1399,                  1.158,                 3.1403,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.2326,                0.80993,                 1.5337,                0.83445,                0.53636,                 0.6558,                0.32119,                 2.1807,                 1.3355,                 3.0657,              0.0003764,              0.0003764,              0.0003764
                     85,                 1.1321,                 0.7062,                 1.4998,                0.80231,                0.62723,                 0.6721,                0.28999,                 2.3199,                 1.2215,                 3.4307,              0.0003566,              0.0003566,              0.0003566
                     86,                 1.1516,                0.76302,                 1.5497,                 0.9298,                0.64545,                 0.7028,                 0.4244,                 1.8531,                 1.0612,                 2.7931,              0.0003368,              0.0003368,              0.0003368
                     87,                  1.103,                0.70782,                  1.492,                0.88151,                0.64545,                  0.704,                0.32919,                 2.1345,                  1.112,                 3.1292,               0.000317,               0.000317,               0.000317
                     88,                 1.1257,                0.71155,                 1.4713,                0.81281,                0.66364,                0.69222,                0.35576,                 2.0402,                 1.1288,                 3.0023,              0.0002972,              0.0002972,              0.0002972
                     89,                 1.0229,                  0.669,                 1.4545,                0.94402,                0.63636,                0.70352,                0.37048,                 2.0666,                 1.1056,                  3.104,              0.0002774,              0.0002774,              0.0002774
                     90,                0.97706,                0.72094,                 1.3597,                0.93449,                0.64545,                0.72195,                0.40707,                 1.8633,                 1.0397,                 2.7825,              0.0002576,              0.0002576,              0.0002576
                     91,                 1.0838,                0.73049,                 1.5144,                0.89694,                0.68182,                0.71775,                0.40548,                 1.7526,                 1.0045,                 2.7828,              0.0002378,              0.0002378,              0.0002378
                     92,                 1.0746,                0.72764,                 1.4871,                0.84295,                0.68315,                0.71651,                0.36149,                 1.9987,                 1.0755,                 3.0151,               0.000218,               0.000218,               0.000218
                     93,                0.92488,                0.65899,                 1.4177,                0.91626,                0.62727,                0.69054,                0.32841,                  2.224,                 1.1485,                 3.3638,              0.0001982,              0.0001982,              0.0001982
                     94,                0.94448,                0.67697,                 1.3878,                0.88994,                0.62727,                0.68742,                0.32803,                 2.2438,                   1.15,                 3.3936,              0.0001784,              0.0001784,              0.0001784
                     95,                0.88648,                0.64233,                 1.3674,                0.88216,                0.63636,                0.68721,                0.33158,                 2.1837,                 1.1577,                 3.3999,              0.0001586,              0.0001586,              0.0001586
                     96,                0.83651,                0.63812,                  1.359,                0.88122,                0.65455,                0.69844,                0.33433,                 2.1622,                 1.1947,                 3.3796,              0.0001388,              0.0001388,              0.0001388
                     97,                0.93531,                0.64688,                 1.3594,                0.82565,                0.66364,                 0.6875,                0.32901,                 2.1785,                 1.1786,                 3.4277,               0.000119,               0.000119,               0.000119
                     98,                0.87778,                 0.6271,                 1.3343,                0.88902,                0.65542,                0.70815,                0.32976,                 2.1741,                 1.1378,                 3.4866,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.86187,                 0.6206,                 1.3637,                0.88006,                0.64545,                  0.704,                0.32507,                  2.207,                 1.1318,                 3.5335,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.84816,                 0.6303,                 1.3594,                 0.8875,                0.64548,                  0.708,                0.32546,                 2.1955,                 1.1349,                 3.4926,               5.96e-05,               5.96e-05,               5.96e-05
